sample_name	organism	isolate	ecotype	dev_stage	geo_loc_name	tissue	growth_protocol	lat_lon	isolation_source
HILO381	Zea mays subsp. mexicana	family_N_seed_i	RIMME0019	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO382	Zea mays subsp. mexicana	family_O_seed_i	RIMME0022	seedling	Mexico:Amecameca	leaf	greenhouse	19.139 N 98.7733 W	Elevation: 2467 m
HILO383	Zea mays subsp. mays	family_A_seed_i	RIMMA0362	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO384	Zea mays subsp. mays	family_E_seed_i	RIMMA0369	seedling	Mexico:Amatlan	leaf	greenhouse	18.9719 N 99.0551 W	Elevation: 1658 m
HILO385	Zea mays subsp. mays	family_G_seed_i	RIMMA0367	seedling	Mexico:Cocotilan	leaf	greenhouse	19.2244 N 98.8427 W	Elevation: 2269 m
HILO386	Zea mays subsp. mays	family_C_seed_i	RIMMA0370	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
HILO387	Zea mays subsp. mexicana	family_I_seed_i	RIMME0026	seedling	Mexico:Opopeo	leaf	greenhouse	19.4181 N 101.613 W	Elevation: 2213 m
HILO389	Zea mays subsp. mexicana	family_G_seed_i	RIMME0034	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO390	Zea mays subsp. mays	family_H_seed_i	RIMMA0365	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
HILO391	Zea mays subsp. mays	family_I_seed_i	RIMMA0363	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO392	Zea mays subsp. mays	family_A_seed_i	RIMMA0367	seedling	Mexico:Cocotilan	leaf	greenhouse	19.2244 N 98.8427 W	Elevation: 2269 m
HILO393	Zea mays subsp. mexicana	family_N_seed_i	RIMME0022	seedling	Mexico:Amecameca	leaf	greenhouse	19.139 N 98.7733 W	Elevation: 2467 m
HILO394	Zea mays subsp. mexicana	family_K_seed_i	RIMME0023	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
HILO395	Zea mays subsp. mexicana	family_O_seed_i	RIMME0030	seedling	Mexico:San Pedro	leaf	greenhouse	19.0886 N 98.4935 W	Elevation: 2459 m
HILO396	Zea mays subsp. mays	family_D_seed_i	RIMMA0369	seedling	Mexico:Amatlan	leaf	greenhouse	18.9719 N 99.0551 W	Elevation: 1658 m
HILO397	Zea mays subsp. mexicana	family_M_seed_i	RIMME0021	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO398	Zea mays subsp. mays	family_A_seed_i	RIMMA0365	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
HILO399	Zea mays subsp. mays	family_H_seed_i	RIMMA0371	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO400	Zea mays subsp. mays	family_D_seed_i	RIMMA0361	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO401	Zea mays subsp. mexicana	family_D_seed_i	RIMME0026	seedling	Mexico:Opopeo	leaf	greenhouse	19.4181 N 101.613 W	Elevation: 2213 m
HILO402	Zea mays subsp. mexicana	family_D_seed_i	RIMME0022	seedling	Mexico:Amecameca	leaf	greenhouse	19.139 N 98.7733 W	Elevation: 2467 m
